Season_Number,season_label,Episode_Number,Startup_Name,Industry,industry_grouped,Pitchers_City,Pitchers_State,Pitchers_Average_Age,Number_of_Presenters,team_size_bucket,Original_Ask_Amount,Original_Offered_Equity,Valuation_Requested,valuation_ask_group,equity_ask_group,Received_Offer,deal_closed,Total_Deal_Amount,Total_Deal_Equity,Total_Deal_Debt,Deal_Valuation,Number_of_sharks_in_deal,pct_of_ask_funded,valuation_change_pct
1,Season 1,1,BluePineFoods,Food,Food,Delhi,Delhi,Middle,3,3+ founders,50.0,5.0,1000.0,Low valuation ask,High equity offered,True,True,75.0,16.0,,469.0,3.0,1.5,-0.531
1,Season 1,1,BoozScooters,Vehicles/Electrical Vehicles,Vehicles/Electrical Vehicles,Ahmedabad,Gujarat,Young,1,Solo founder,40.0,15.0,267.0,Low valuation ask,High equity offered,True,True,40.0,50.0,,80.0,2.0,1.0,-0.700374531835206
1,Season 1,1,HeartUpMySleeves,Beauty/Fashion,Beauty/Fashion,Delhi,Delhi,Young,1,Solo founder,25.0,10.0,250.0,Low valuation ask,High equity offered,True,True,25.0,30.0,,83.0,2.0,1.0,-0.668
1,Season 1,2,TagzFoods,Food,Food,Bangalore,Karnataka,Middle,2,Two founders,70.0,1.0,7000.0,High valuation ask,Low equity offered,True,True,70.0,2.75,,2545.0,1.0,1.0,-0.6364285714285715
1,Season 1,2,HeadAndHeart,Education,Other (small n),Patiala,Punjab,Middle,4,3+ founders,50.0,5.0,1000.0,Low valuation ask,High equity offered,False,False,,,,,,,
1,Season 1,2,Agritourism,Agriculture,Other (small n),Baramati,Maharashtra,Middle,2,Two founders,50.0,5.0,1000.0,Low valuation ask,High equity offered,False,False,,,,,,,
1,Season 1,3,qZenseLabs,Food,Food,"Delhi,Mohali","Delhi,Punjab",Middle,2,Two founders,100.0,0.25,40000.0,High valuation ask,Low equity offered,True,False,,,,,,,
1,Season 1,3,Peeschute,Beauty/Fashion,Beauty/Fashion,Jalna,Maharashtra,Young,1,Solo founder,75.0,4.0,1875.0,Low valuation ask,High equity offered,True,True,75.0,6.0,,1250.0,1.0,1.0,-0.3333333333333333
1,Season 1,3,NOCD,Food,Food,Bangalore,Karnataka,Middle,2,Two founders,50.0,2.0,2500.0,High valuation ask,Low equity offered,True,True,20.0,15.0,30.0,133.0,1.0,0.4,-0.9468
1,Season 1,4,CosIQ,Beauty/Fashion,Beauty/Fashion,Delhi,Delhi,Middle,2,Two founders,50.0,7.5,667.0,Low valuation ask,High equity offered,True,True,50.0,25.0,,200.0,2.0,1.0,-0.7001499250374813
1,Season 1,4,JhaJiAchaar,Food,Food,Darbhanga,Bihar,Old,2,Two founders,50.0,10.0,500.0,Low valuation ask,High equity offered,True,True,56.6,5.62,,1007.0,2.0,1.1320000000000001,1.014
1,Season 1,4,Bummer,Beauty/Fashion,Beauty/Fashion,Ahmedabad,Gujarat,Young,1,Solo founder,75.0,4.0,1875.0,Low valuation ask,High equity offered,True,True,75.0,7.5,,1000.0,2.0,1.0,-0.4666666666666667
1,Season 1,5,RevampMoto,Vehicles/Electrical Vehicles,Vehicles/Electrical Vehicles,Nashik,Maharashtra,Young,3,3+ founders,100.0,1.0,10000.0,High valuation ask,Low equity offered,True,True,100.0,1.5,,6667.0,2.0,1.0,-0.3333
1,Season 1,5,HungryHead,Food,Food,Mumbai,Maharashtra,Middle,2,Two founders,50.0,5.0,1000.0,Low valuation ask,High equity offered,False,False,,,,,,,
1,Season 1,5,ShrawaniEngineers,Beauty/Fashion,Beauty/Fashion,Nagpur,Maharashtra,Middle,2,Two founders,20.0,10.0,200.0,Low valuation ask,High equity offered,False,False,,,,,,,
1,Season 1,6,SkippiIcePops,Food,Food,Hyderabad,Telangana,Middle,2,Two founders,45.0,5.0,900.0,Low valuation ask,High equity offered,True,True,100.0,15.0,,667.0,5.0,2.2222222222222223,-0.2588888888888889
1,Season 1,6,Menstrupedia,Education,Other (small n),Ahmedabad,Gujarat,Middle,2,Two founders,50.0,10.0,500.0,Low valuation ask,High equity offered,True,True,50.0,20.0,,250.0,1.0,1.0,-0.5
1,Season 1,6,Hecoll,Beauty/Fashion,Beauty/Fashion,Hyderabad,Telangana,Middle,1,Solo founder,100.0,1.0,10000.0,High valuation ask,Low equity offered,False,False,,,,,,,
